Country Name,Country Code,Region,IncomeGroup,Year,Undernourishment %,CO2 (tons),Health Expenditure %,Education Expenditure %,Unemployment %,Injuries,Communicable,NonCommunicable,daly,Life Expectancy
Uruguay,URY,Latin America & Caribbean,High income,2004,4,5460,8,2,13,127726,95134,823377,1046237,76
United States,USA,North America,High income,2004,2,5738290,15,5,6,9226346,5139750,76706825,91072921,77
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2004,17,124840,5,5,8,1062729,2727334,5755934,9545997,68
Vietnam,VNM,East Asia & Pacific,Lower middle income,2004,16,85050,4,5,2,2876652,5018634,13807772,21703058,74
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2004,7,70,4,5,2,9294,31286,42895,83475,68
Samoa,WSM,East Asia & Pacific,Lower middle income,2004,3,190,5,5,5,6130,8963,36797,51890,70
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2004,3,379990,8,5,29,4343026,24812789,9520560,38676375,53
Zambia,ZMB,Sub-Saharan Africa,Low income,2004,2,2110,7,2,15,417552,8697367,1814025,10928944,47
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2004,2,9770,5,5,4,427304,9149878,1762436,11339618,43
Afghanistan,AFG,South Asia,Low income,2005,36,1550,10,3,11,2157482,8555405,6353575,17066462,58
Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,52,15810,3,2,4,1257996,10778976,3009696,15046668,50
Albania,ALB,Europe & Central Asia,Upper middle income,2005,9,4030,6,3,16,94242,99241,568931,762414,75
Andorra,AND,Europe & Central Asia,High income,2005,2,580,6,2,4,1972,811,15749,18532,75
United Arab Emirates,ARE,Middle East & North Africa,High income,2005,8,116460,2,5,3,169003,70458,589328,828789,75
Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,4,145990,8,4,12,1325639,1447163,8238762,11011564,74
Armenia,ARM,Europe & Central Asia,Upper middle income,2005,12,4460,6,3,10,92660,105444,793048,991152,73
American Samoa,ASM,East Asia & Pacific,Upper middle income,2005,2,10,5,5,4,1662,2521,11270,15453,75
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2005,2,410,5,5,4,2247,2901,15252,20400,75
Australia,AUS,East Asia & Pacific,High income,2005,2,370090,8,5,5,613138,207653,4288694,5109485,81
Austria,AUT,Europe & Central Asia,High income,2005,2,76240,10,5,6,235313,78402,2112187,2425902,79
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2005,5,30040,2,3,7,240229,826521,2003782,3070532,69
Burundi,BDI,Sub-Saharan Africa,Low income,2005,2,150,8,4,2,1328158,4558704,1203309,7090171,53
Belgium,BEL,Europe & Central Asia,High income,2005,2,110610,9,6,8,394025,164590,2695062,3253677,79
Benin,BEN,Sub-Saharan Africa,Lower middle income,2005,12,2900,3,3,1,313692,4334553,1313242,5961487,57
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2005,18,1060,4,4,4,591426,10011584,2660480,13263490,53
Bangladesh,BGD,South Asia,Lower middle income,2005,14,32710,2,5,4,4474768,24349119,22331323,51155210,68
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2005,5,47990,7,4,10,340285,162185,3119811,3622281,73
Bahrain,BHR,Middle East & North Africa,High income,2005,2,20690,3,3,1,23495,17232,134173,174900,75
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2005,2,16230,9,5,30,134599,64747,1029483,1228829,75
Belarus,BLR,Europe & Central Asia,Upper middle income,2005,2,56780,6,6,9,812528,216459,3659226,4688213,69
Belize,BLZ,Latin America & Caribbean,Upper middle income,2005,6,470,4,5,11,14188,19370,42536,76094,70
Bermuda,BMU,North America,High income,2005,2,10,5,2,4,1257,1351,13757,16365,79
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2005,27,10050,5,5,3,396697,1379836,1691731,3468264,65
Brazil,BRA,Latin America & Caribbean,Upper middle income,2005,6,331690,8,4,10,9338535,12613730,38596397,60548662,72
Barbados,BRB,Latin America & Caribbean,High income,2005,6,1420,7,6,9,6964,10645,65132,82741,78
Bhutan,BTN,South Asia,Lower middle income,2005,2,320,4,7,3,21050,118576,109994,249620,65
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2005,23,4280,5,11,20,113190,1039433,322603,1475226,52
Central African Republic,CAF,Sub-Saharan Africa,Low income,2005,40,220,4,2,6,310133,3766394,805166,4881693,45
Canada,CAN,North America,High income,2005,2,549030,9,5,7,834411,396015,6949224,8179650,80
Switzerland,CHE,Europe & Central Asia,High income,2005,2,45850,10,5,4,233141,78392,1738440,2049973,81
Chile,CHL,Latin America & Caribbean,High income,2005,3,55970,7,3,9,522744,296514,3000791,3820049,78
China,CHN,East Asia & Pacific,Upper middle income,2005,7,5824630,4,2,5,45422072,35870314,287176624,368469010,73
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2005,18,5880,5,3,6,701544,12763723,2980729,16445996,50
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2005,16,5020,4,3,4,706338,10894276,2906555,14507169,53
Colombia,COL,Latin America & Caribbean,Upper middle income,2005,11,57640,6,4,11,2538198,2048505,6570975,11157678,74
Comoros,COM,Sub-Saharan Africa,Lower middle income,2005,2,150,6,5,5,21218,194212,95084,310514,60
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2005,4,6270,7,5,7,114096,93286,622002,829384,78
Cuba,CUB,Latin America & Caribbean,Upper middle income,2005,2,26320,9,11,2,337245,254054,2470075,3061374,78
Cyprus,CYP,Europe & Central Asia,High income,2005,8,7900,5,6,5,29343,10822,213014,253179,79
Germany,DEU,Europe & Central Asia,High income,2005,2,802380,10,5,11,1911408,896838,23022502,25830748,79
Djibouti,DJI,Middle East & North Africa,Lower middle income,2005,31,430,3,8,28,28410,310770,115616,454796,58
Dominica,DMA,Latin America & Caribbean,Upper middle income,2005,5,160,5,5,4,2451,3264,17698,23413,75
Denmark,DNK,Europe & Central Asia,High income,2005,2,50200,9,8,5,132813,73621,1477458,1683892,78
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2005,19,18690,4,5,7,393831,959580,1557582,2910993,71
Algeria,DZA,Middle East & North Africa,Lower middle income,2005,7,94190,3,5,15,1366865,1966546,5744011,9077422,73
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2005,22,28220,6,5,4,715120,983556,2243594,3942270,74
Eritrea,ERI,Sub-Saharan Africa,Low income,2005,2,600,7,5,5,277294,1961414,757256,2995964,59
Spain,ESP,Europe & Central Asia,High income,2005,2,350500,8,4,9,1088739,570654,10509982,12169375,80
Estonia,EST,Europe & Central Asia,High income,2005,2,17230,5,5,8,80311,25099,446761,552171,73
Ethiopia,ETH,Sub-Saharan Africa,Low income,2005,37,5050,4,5,2,3104046,40790844,11007525,54902415,56
Finland,FIN,Europe & Central Asia,High income,2005,2,55460,8,6,8,220260,50384,1349234,1619878,79
Fiji,FJI,East Asia & Pacific,Upper middle income,2005,4,1290,3,5,4,26104,59491,208811,294406,66
France,FRA,Europe & Central Asia,High income,2005,2,380660,10,5,8,2062510,788320,14259167,17109997,80
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2005,14,6060,3,5,17,55306,415769,250162,721237,58
United Kingdom,GBR,Europe & Central Asia,High income,2005,2,540920,8,5,5,1235891,1048445,16175729,18460065,79
Georgia,GEO,Europe & Central Asia,Upper middle income,2005,4,4240,8,2,14,140713,163213,1404204,1708130,71
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2005,11,7040,4,7,6,689438,8669564,3585007,12944009,59
Guinea,GIN,Sub-Saharan Africa,Low income,2005,2,1830,4,2,5,396401,5567493,1747669,7711563,53
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2005,2,210,7,5,6,79982,868753,267549,1216284,52
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2005,2,8320,1,5,9,32054,351480,110516,494050,54
Greece,GRC,Europe & Central Asia,High income,2005,2,101950,9,4,10,278666,121856,2912348,3312870,79
Grenada,GRD,Latin America & Caribbean,Upper middle income,2005,2,250,5,5,4,3277,4526,22360,30163,73
Greenland,GRL,Europe & Central Asia,High income,2005,2,10,5,5,4,4603,1580,14680,20863,68
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2005,19,11530,6,5,3,854249,1709716,1988524,4552489,70
Guam,GUM,East Asia & Pacific,High income,2005,2,10,5,5,7,4330,5600,28689,38619,77
Guyana,GUY,Latin America & Caribbean,Upper middle income,2005,7,1480,4,8,11,52305,90968,174665,317938,67
Honduras,HND,Latin America & Caribbean,Lower middle income,2005,22,6970,8,5,5,365611,547094,1156326,2069031,72
Croatia,HRV,Europe & Central Asia,High income,2005,2,21450,7,5,13,181965,66291,1335866,1584122,75
Haiti,HTI,Latin America & Caribbean,Lower middle income,2005,53,1700,3,5,14,612948,2874078,2194068,5681094,59
Hungary,HUN,Europe & Central Asia,High income,2005,2,55920,8,5,7,448791,136256,3555088,4140135,73
Indonesia,IDN,East Asia & Pacific,Lower middle income,2005,19,342150,3,3,8,6392260,27418346,44810321,78620927,67
India,IND,South Asia,Lower middle income,2005,22,1136470,4,3,6,53131680,245719584,202654075,501505339,64
Ireland,IRL,Europe & Central Asia,High income,2005,2,46650,8,5,4,101924,53506,907915,1063345,79
Iraq,IRQ,Middle East & North Africa,Upper middle income,2005,18,85130,3,5,9,2808836,2794695,4970214,10573745,68
Iceland,ISL,Europe & Central Asia,High income,2005,2,2290,9,7,3,6161,3169,57363,66693,82
Israel,ISR,Middle East & North Africa,High income,2005,2,61010,7,6,11,162055,91860,1251608,1505523,80
Italy,ITA,Europe & Central Asia,High income,2005,2,473830,8,4,8,1218314,589410,15509810,17317534,81
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2005,7,10560,5,5,11,71750,115067,448997,635814,74
Jordan,JOR,Middle East & North Africa,Upper middle income,2005,6,19870,9,5,15,149371,257676,821488,1228535,73
Japan,JPN,East Asia & Pacific,High income,2005,2,1212820,8,3,4,3727545,2003154,29099085,34829784,82
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2005,7,169210,4,2,8,1260407,940183,4751056,6951646,66
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2005,28,8320,5,7,3,948917,16008151,4450880,21407948,55
Cambodia,KHM,East Asia & Pacific,Lower middle income,2005,17,2660,7,5,1,559324,3026336,2539947,6125607,63
Kiribati,KIR,East Asia & Pacific,Lower middle income,2005,5,70,12,5,4,4158,18995,29464,52617,64
Kuwait,KWT,Middle East & North Africa,High income,2005,2,69910,2,5,1,58251,45014,315360,418625,74
Lebanon,LBN,Middle East & North Africa,Lower middle income,2005,11,17280,8,3,8,94094,146384,827238,1067716,77
Liberia,LBR,Sub-Saharan Africa,Low income,2005,36,670,10,5,2,94839,1756071,480392,2331302,55
Libya,LBY,Middle East & North Africa,Upper middle income,2005,2,52990,3,5,19,177965,189097,838470,1205532,72
Sri Lanka,LKA,South Asia,Lower middle income,2005,14,13980,4,2,8,920999,864753,3779337,5565089,75
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2005,14,430,5,12,31,150239,1587788,397448,2135475,43
Lithuania,LTU,Europe & Central Asia,High income,2005,2,12830,6,5,8,267016,68682,1097718,1433416,71
Luxembourg,LUX,Europe & Central Asia,High income,2005,2,11910,7,5,4,12210,5298,109725,127233,79
Latvia,LVA,Europe & Central Asia,High income,2005,2,7710,6,5,10,160049,50267,820637,1030953,71
Morocco,MAR,Middle East & North Africa,Lower middle income,2005,6,43580,5,5,11,1321308,3151649,5987945,10460902,72
Monaco,MCO,Europe & Central Asia,High income,2005,2,10,2,5,4,917,519,11458,12894,75
Moldova,MDA,Europe & Central Asia,Upper middle income,2005,2,8180,10,7,7,230090,153381,1326735,1710206,68
Madagascar,MDG,Sub-Saharan Africa,Low income,2005,33,1710,5,3,3,501460,7259330,2955506,10716296,61
Maldives,MDV,South Asia,Upper middle income,2005,2,720,9,5,7,5628,18672,41461,65761,74
Mexico,MEX,Latin America & Caribbean,Upper middle income,2005,4,432190,6,5,4,3689547,5020395,18291872,27001814,75
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2005,2,140,22,5,4,2748,5862,12054,20664,75
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2005,5,9230,8,5,37,61828,40938,596223,698989,74
Mali,MLI,Sub-Saharan Africa,Low income,2005,13,1650,5,4,10,559210,10106600,2255838,12921648,52
Malta,MLT,Middle East & North Africa,High income,2005,2,2630,9,5,7,8549,5438,94982,108969,79
Myanmar,MMR,East Asia & Pacific,Lower middle income,2005,28,10720,2,5,1,2430622,11368022,12200872,25999516,62
Montenegro,MNE,Europe & Central Asia,Upper middle income,2005,6,2000,5,5,30,24388,11938,173993,210319,74
Mongolia,MNG,East Asia & Pacific,Lower middle income,2005,30,11060,4,5,7,169658,249871,630709,1050238,65
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2005,2,10,5,5,4,2478,1803,11463,15744,75
Mozambique,MOZ,Sub-Saharan Africa,Low income,2005,33,1710,4,4,3,758310,14977649,3077260,18813219,50
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2005,9,1510,3,5,10,109697,903726,416894,1430317,61
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2005,5,2960,4,4,10,31440,40070,298253,369763,72
Malawi,MWI,Sub-Saharan Africa,Low income,2005,22,760,6,5,6,387049,9646019,1988342,12021410,48
Malaysia,MYS,East Asia & Pacific,Upper middle income,2005,3,167420,3,5,4,712032,994880,4024569,5731481,74
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2005,18,2530,10,5,22,102858,937308,320669,1360835,51
Niger,NER,Sub-Saharan Africa,Low income,2005,2,760,6,5,3,606956,11877998,2237277,14722231,53
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2005,7,98720,4,5,4,4456443,102794721,23985557,131236721,48
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2005,23,4340,6,5,5,169783,314710,773490,1257983,71
Netherlands,NLD,Europe & Central Asia,High income,2005,2,167930,9,5,6,311494,230193,3856641,4398328,79
Norway,NOR,Europe & Central Asia,High income,2005,2,36350,8,7,4,121928,58753,1093893,1274574,80
Nepal,NPL,South Asia,Lower middle income,2005,17,3190,4,3,1,915173,5289679,4161871,10366723,65
Nauru,NRU,East Asia & Pacific,High income,2005,2,70,10,5,4,797,1583,2871,5251,75
New Zealand,NZL,East Asia & Pacific,High income,2005,2,34230,8,6,4,151701,42969,861870,1056540,80
Oman,OMN,Middle East & North Africa,High income,2005,10,31010,3,4,4,128258,72766,340740,541764,74
Pakistan,PAK,South Asia,Lower middle income,2005,18,121670,3,2,1,9169538,57243296,29945848,96358682,64
Panama,PAN,Latin America & Caribbean,High income,2005,22,7120,6,5,4,102474,152202,485200,739876,76
Peru,PER,Latin America & Caribbean,Upper middle income,2005,19,31290,5,3,5,888236,2091185,3913778,6893199,73
Philippines,PHL,East Asia & Pacific,Lower middle income,2005,14,76670,4,2,4,2765622,9624725,15005147,27395494,69
Palau,PLW,East Asia & Pacific,Upper middle income,2005,2,260,9,5,4,1216,1266,5575,8057,69
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2005,27,4930,2,5,2,292855,1726131,1303391,3322377,61
Poland,POL,Europe & Central Asia,High income,2005,2,301350,6,5,18,1685580,571469,10305672,12562721,75
Puerto Rico,PRI,Latin America & Caribbean,High income,2005,2,10,5,5,11,130683,121833,860601,1113117,78
Portugal,PRT,Europe & Central Asia,High income,2005,2,65470,10,5,8,291534,217001,2866469,3375004,78
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2005,10,3700,5,5,5,194580,342022,870875,1407477,72
Qatar,QAT,Middle East & North Africa,High income,2005,2,38540,3,4,1,37790,16382,114318,168490,78
Romania,ROU,Europe & Central Asia,High income,2005,2,94710,6,4,7,905515,608802,6805217,8319534,72
Rwanda,RWA,Sub-Saharan Africa,Low income,2005,35,550,9,5,1,481358,4075212,1448671,6005241,55
Saudi Arabia,SAU,Middle East & North Africa,High income,2005,5,315290,3,5,6,1336193,830023,3589279,5755495,73
Sudan,SDN,Sub-Saharan Africa,Low income,2005,19,10500,4,1,15,1540988,8185517,6219922,15946427,61
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2005,18,5670,4,4,9,322491,4130506,1764214,6217211,61
Singapore,SGP,East Asia & Pacific,High income,2005,2,36900,3,3,6,77172,64744,610409,752325,80
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2005,12,340,9,5,2,32766,107280,135125,275171,69
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2005,47,450,11,3,4,253447,4215134,1081436,5550017,45
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2005,9,6840,8,3,7,396305,309801,1009604,1715710,70
San Marino,SMR,Europe & Central Asia,High income,2005,2,10,5,5,4,638,336,6590,7564,75
Somalia,SOM,Sub-Saharan Africa,Low income,2005,71,580,5,5,19,649124,8867377,1955462,11471963,52
Serbia,SRB,Europe & Central Asia,Upper middle income,2005,2,50690,8,5,21,345214,171285,3140392,3656891,73
South Sudan,SSD,Sub-Saharan Africa,Low income,2005,2,910,5,5,12,278087,4830780,1146750,6255617,52
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2005,9,80,12,5,16,3304,35859,24876,64039,65
Suriname,SUR,Latin America & Caribbean,Upper middle income,2005,10,1690,6,5,9,22513,46130,102825,171468,69
Slovenia,SVN,Europe & Central Asia,High income,2005,2,15920,8,6,7,99672,25695,499368,624735,78
Sweden,SWE,Europe & Central Asia,High income,2005,2,50210,8,7,7,234428,95541,2261660,2591629,81
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2005,9,660,7,6,27,71512,861520,201412,1134444,43
Seychelles,SYC,Sub-Saharan Africa,High income,2005,2,380,5,5,4,2672,4046,18967,25685,72
Chad,TCD,Sub-Saharan Africa,Low income,2005,38,480,5,2,1,461706,8179869,1633792,10275367,49
Togo,TGO,Sub-Saharan Africa,Low income,2005,28,1750,3,3,4,237368,2931127,838432,4006927,55
Thailand,THA,East Asia & Pacific,Upper middle income,2005,12,217770,3,4,1,3207563,3589906,12278717,19076186,72
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2005,2,2470,5,4,13,225926,943006,1171674,2340606,66
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2005,4,50590,10,5,7,170335,456272,1008326,1634933,65
Tonga,TON,East Asia & Pacific,Upper middle income,2005,2,130,5,5,2,2263,6525,18961,27749,70
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2005,11,17590,4,5,8,61457,62533,308281,432271,71
Tunisia,TUN,Middle East & North Africa,Lower middle income,2005,4,22970,5,6,13,325758,382556,1853263,2561577,74
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2005,2,10,11,5,4,433,827,2851,4111,75
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2005,28,5660,6,4,3,1180760,21557410,6227869,28966039,54
Uganda,UGA,Sub-Saharan Africa,Low income,2005,2,2020,6,3,2,1048187,18333603,4056307,23438097,52
Ukraine,UKR,Europe & Central Asia,Lower middle income,2005,2,295410,6,6,7,3365664,1657490,19601692,24624846,68
Uruguay,URY,Latin America & Caribbean,High income,2005,4,5420,8,3,12,126492,91430,817562,1035484,76
United States,USA,North America,High income,2005,2,5753490,15,5,5,9557153,5173588,77679918,92410659,77
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2005,15,119190,5,5,7,1084746,2714642,5988537,9787925,68
Vietnam,VNM,East Asia & Pacific,Lower middle income,2005,16,92370,4,5,2,2926028,4927531,14154592,22008151,74
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2005,7,70,3,5,2,9633,30569,45277,85479,68
Samoa,WSM,East Asia & Pacific,Lower middle income,2005,3,210,5,5,5,6605,8849,37242,52696,70
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2005,3,377650,8,5,29,4255278,25566395,9560437,39382110,53
Zambia,ZMB,Sub-Saharan Africa,Low income,2005,2,2290,7,2,16,437127,8445950,1863804,10746881,48
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2005,2,10510,5,5,5,433277,9044542,1783248,11261067,43
Afghanistan,AFG,South Asia,Low income,2006,33,1760,11,3,11,2353206,8223378,6340826,16917410,59
Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,49,16560,3,2,4,1261954,10718719,3088844,15069517,51
Albania,ALB,Europe & Central Asia,Upper middle income,2006,9,4010,6,3,16,89182,90918,557301,737401,75
Andorra,AND,Europe & Central Asia,High income,2006,2,550,5,2,4,2029,832,16248,19109,75
United Arab Emirates,ARE,Middle East & North Africa,High income,2006,8,121560,2,5,3,191991,75088,649627,916706,76
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,3,154900,8,4,10,1347932,1436963,8304715,11089610,75
Armenia,ARM,Europe & Central Asia,Upper middle income,2006,9,4490,6,3,10,93357,104960,802931,1001248,73
American Samoa,ASM,East Asia & Pacific,Upper middle income,2006,2,10,5,15,4,1644,2438,11381,15463,75
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2006,2,440,5,5,4,2208,2854,15599,20661,75
Australia,AUS,East Asia & Pacific,High income,2006,2,375490,8,5,5,620166,208950,4335612,5164728,81
Austria,AUT,Europe & Central Asia,High income,2006,2,74100,10,5,5,231353,75741,2099787,2406881,80
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2006,3,30490,2,3,7,235262,797478,2025824,3058564,69
Burundi,BDI,Sub-Saharan Africa,Low income,2006,2,180,10,5,2,472565,4430980,1225088,6128633,54
Belgium,BEL,Europe & Central Asia,High income,2006,2,108650,9,5,8,394780,163516,2682815,3241111,79
Benin,BEN,Sub-Saharan Africa,Lower middle income,2006,11,3470,3,3,1,321593,4380012,1347798,6049403,58
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2006,17,1240,5,4,4,609139,9932127,2717109,13258375,54
Bangladesh,BGD,South Asia,Lower middle income,2006,14,35900,2,2,4,4365190,22969984,22933767,50268941,68
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2006,5,48950,7,4,9,335762,159330,3128319,3623411,73
Bahrain,BHR,Middle East & North Africa,High income,2006,2,22490,3,3,1,28210,17648,140823,186681,75
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2006,2,17910,9,5,31,131968,63135,1020349,1215452,75
Belarus,BLR,Europe & Central Asia,Upper middle income,2006,2,59120,6,6,8,775312,212457,3561255,4549024,69
Belize,BLZ,Latin America & Caribbean,Upper middle income,2006,6,510,5,5,9,13997,19449,43926,77372,70
Bermuda,BMU,North America,High income,2006,2,10,5,5,4,1239,1374,13900,16513,79
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2006,25,11230,5,5,3,397127,1339093,1722627,3458847,66
Brazil,BRA,Latin America & Caribbean,Upper middle income,2006,6,335620,8,5,9,9402192,12313871,39198556,60914619,72
Barbados,BRB,Latin America & Caribbean,High income,2006,5,1470,7,5,9,6916,10473,65989,83378,78
Bhutan,BTN,South Asia,Lower middle income,2006,2,320,4,5,3,20211,114313,109993,244517,66
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2006,22,4090,5,5,18,114544,982469,324931,1421944,53
Central African Republic,CAF,Sub-Saharan Africa,Low income,2006,38,230,4,1,6,341076,3740320,827672,4909068,45
Canada,CAN,North America,High income,2006,2,540530,9,5,6,835431,397678,7010586,8243695,80
Switzerland,CHE,Europe & Central Asia,High income,2006,2,45480,10,5,4,229175,78700,1746933,2054808,81
Chile,CHL,Latin America & Caribbean,High income,2006,3,57150,6,3,9,519251,294647,3027848,3841746,78
China,CHN,East Asia & Pacific,Upper middle income,2006,6,6437470,4,2,4,43935343,33380485,284440815,361756643,73
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2006,18,5700,5,3,6,701687,12394825,3041381,16137893,51
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2006,14,5090,4,3,4,731706,10973089,3004030,14708825,53
Colombia,COL,Latin America & Caribbean,Upper middle income,2006,11,57690,6,4,11,2485587,1990757,6715774,11192118,74
Comoros,COM,Sub-Saharan Africa,Lower middle income,2006,2,170,6,5,5,20177,192968,93323,306468,60
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2006,4,6560,7,5,6,121487,95011,649598,866096,78
Cuba,CUB,Latin America & Caribbean,Upper middle income,2006,2,26780,8,9,2,318275,239484,2436353,2994112,78
Cyprus,CYP,Europe & Central Asia,High income,2006,8,8000,5,6,5,27705,10723,218437,256865,79
Germany,DEU,Europe & Central Asia,High income,2006,2,814410,10,4,10,1882307,901906,22925441,25709654,79
Djibouti,DJI,Middle East & North Africa,Lower middle income,2006,27,430,3,8,28,36199,310927,119406,466532,58
Dominica,DMA,Latin America & Caribbean,Upper middle income,2006,5,170,5,5,4,2446,3217,17772,23435,75
Denmark,DNK,Europe & Central Asia,High income,2006,2,58130,9,8,4,130615,73068,1479190,1682873,78
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2006,16,20370,4,5,6,397585,922544,1598389,2918518,71
Algeria,DZA,Middle East & North Africa,Lower middle income,2006,6,99810,3,5,12,1344806,1946060,5829040,9119906,74
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2006,23,30130,6,5,4,737073,959338,2308085,4004496,74
Eritrea,ERI,Sub-Saharan Africa,Low income,2006,2,520,7,2,5,263900,1941086,773657,2978643,59
Spain,ESP,Europe & Central Asia,High income,2006,2,341780,8,4,8,1067647,561040,10552362,12181049,81
Estonia,EST,Europe & Central Asia,High income,2006,2,15980,5,5,6,77182,24864,444476,546522,73
Ethiopia,ETH,Sub-Saharan Africa,Low income,2006,36,5400,4,5,2,3121042,39064032,11025848,53210922,57
Finland,FIN,Europe & Central Asia,High income,2006,2,67020,8,6,8,218229,46688,1351687,1616604,79
Fiji,FJI,East Asia & Pacific,Upper middle income,2006,4,1380,3,6,4,26348,58987,214385,299720,66
France,FRA,Europe & Central Asia,High income,2006,2,371550,10,5,8,2038028,783348,14276388,17097764,81
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2006,15,5440,3,5,18,56003,403206,255108,714317,59
United Kingdom,GBR,Europe & Central Asia,High income,2006,2,542060,9,5,5,1247052,1042262,16160663,18449977,79
Georgia,GEO,Europe & Central Asia,Upper middle income,2006,4,4700,8,3,14,141156,151701,1374179,1667036,71
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2006,11,8510,4,5,5,709613,8693273,3679327,13082213,59
Guinea,GIN,Sub-Saharan Africa,Low income,2006,2,1900,4,5,5,409023,5523888,1783179,7716090,54
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2006,2,220,7,5,6,83413,817313,271256,1171982,53
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2006,2,9370,2,5,9,27882,339201,114142,481225,55
Greece,GRC,Europe & Central Asia,High income,2006,2,100700,8,5,9,268164,118873,2917726,3304763,79
Grenada,GRD,Latin America & Caribbean,Upper middle income,2006,2,260,5,5,4,3175,4420,22546,30141,73
Greenland,GRL,Europe & Central Asia,High income,2006,2,10,5,5,4,4499,1541,14760,20800,69
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2006,18,11520,6,3,3,847842,1637044,2060375,4545261,70
Guam,GUM,East Asia & Pacific,High income,2006,2,10,5,5,7,4286,5685,29305,39276,77
Guyana,GUY,Latin America & Caribbean,Upper middle income,2006,7,1330,4,3,11,50573,84414,174530,309517,67
Honduras,HND,Latin America & Caribbean,Lower middle income,2006,22,7970,8,5,4,371936,538464,1188592,2098992,72
Croatia,HRV,Europe & Central Asia,High income,2006,2,21610,7,5,11,178364,62541,1318153,1559058,76
Haiti,HTI,Latin America & Caribbean,Lower middle income,2006,52,1720,4,5,16,617544,2832624,2239538,5689706,59
